# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	11615
#@/user_id	0ba0088c-26ad-4165-b815-edfac2094e5f
a 	啊	c=33 d=1.71352 t=11615
a 	阿	c=1 d=0.000262568 t=11615
a a 	啊啊	c=4 d=0.0105675 t=11615
a a a 	啊啊啊	c=1 d=0.22091 t=11615
a da 	阿達	c=0 d=0.0216536 t=11615
a shi da da 	啊溼答答	c=1 d=0.219808 t=11615
ai de 	愛的	c=0 d=8.61001e-06 t=11615
ai de hua 	愛德華	c=1 d=1.51907e-07 t=11615
an 	安	c=3 d=7.27044e-15 t=11615
an 	按	c=1 d=3.84472e-20 t=11615
an 	氨	c=1 d=2.52571e-12 t=11615
an 	胺	c=3 d=1.36463 t=11615
an ji 	氨基	c=4 d=2.65354e-12 t=11615
an ji suan 	氨基酸	c=31 d=4.01493e-12 t=11615
an jing 	安靜	c=1 d=0.00143728 t=11615
an jing qing xing 	安靜清醒	c=2 d=1.5162e-13 t=11615
an pai 	安排	c=1 d=7.94804e-05 t=11615
an quan 	安全	c=2 d=3.77426e-18 t=11615
an quan xing 	安全性	c=1 d=9.59778e-18 t=11615
an suan 	氨酸	c=5 d=5.61299e-13 t=11615
an zhuang 	安裝	c=3 d=0.0620649 t=11615
an zhuo 	安卓	c=10 d=1.25974 t=11615
ao xian 	凹陷	c=1 d=0.00119453 t=11615
ba 	吧	c=2 d=0.0113334 t=11615
ba 	把	c=1 d=1 t=11604
ba 	靶	c=1 d=6.38606e-19 t=11615
ba bi tuo 	巴比妥	c=1 d=7.16557e-21 t=11615
ba biao 	靶標	c=2 d=2.21943e-16 t=11615
ba qu 	靶區	c=1 d=6.90007e-18 t=11615
ba zi 	八字	c=1 d=1.09831e-15 t=11615
bai 	白	c=1 d=2.85416e-15 t=11615
bai dan bai 	白蛋白	c=1 d=0.50409 t=11615
bai dong 	擺動	c=1 d=0.000430743 t=11615
bai du 	百度	c=2 d=1.99501 t=11611
bai ri ke 	百日咳	c=1 d=0.00285124 t=11615
bai se 	白色	c=3 d=0.000266536 t=11615
bai xi bao 	白細胞	c=2 d=0.227638 t=11615
ban 	半	c=0 d=1.42667e-05 t=11615
ban 	瓣	c=5 d=8.84129e-08 t=11615
ban ben 	版本	c=1 d=0.000151489 t=11615
ban guan bi 	半關閉	c=1 d=3.14619e-14 t=11615
ban guan bi 	瓣關閉	c=1 d=3.1305e-14 t=11615
ban guang 	半胱	c=1 d=4.17359e-15 t=11615
ban guang an suan 	半胱氨酸	c=2 d=1.92123e-14 t=11615
ban he cheng 	半合成	c=1 d=0.000143382 t=11615
ban hen 	瘢痕	c=1 d=5.74365e-07 t=11615
ban jing 	半徑	c=1 d=5.60661e-17 t=11615
ban ju hua 	半句話	c=1 d=0.0332068 t=11615
ban mo 	瓣膜	c=6 d=0.000894469 t=11615
ban mo bing 	瓣膜病	c=2 d=4.40772e-09 t=11615
ban pian 	斑片	c=2 d=0.000531877 t=11615
ban shuai qi 	半衰期	c=3 d=6.3828e-13 t=11615
ban ye 	瓣葉	c=2 d=2.91379e-14 t=11615
ban you 	伴有	c=5 d=0.0292888 t=11615
ban you da liang 	伴有大量	c=1 d=2.54367e-13 t=11615
ban yue ban 	半月瓣	c=1 d=0.00334597 t=11615
bang ding 	綁定	c=2 d=0.000111109 t=11615
bao 	保	c=1 d=2.61303e-06 t=11615
bao 	包	c=2 d=0.125556 t=11615
bao 	胞	c=3 d=0.697676 t=11615
bao cun 	保存	c=3 d=0.011659 t=11615
bao he 	飽和	c=1 d=3.00928e-20 t=11615
bao hu 	保護	c=2 d=0.0982736 t=11615
bao kuo 	包括	c=5 d=0.541273 t=11615
bao man 	飽滿	c=1 d=0.66034 t=11615
bao mo 	包膜	c=2 d=0.00175669 t=11615
bao shou 	保守	c=1 d=0.941765 t=11615
bao tai song 	保泰松	c=1 d=8.11965e-21 t=11615
bao zhi nei 	胞質內	c=1 d=1.22265e-12 t=11615
bei 	倍	c=3 d=3.50656e-11 t=11615
bei 	被	c=10 d=0.230928 t=11615
bei 	鋇	c=1 d=5.95432e-19 t=11615
bei dong 	被動	c=1 d=0.860708 t=11615
bei dong kuo san 	被動擴散	c=1 d=1.89024e-20 t=11615
bei duan 	背段	c=1 d=0.000800719 t=11615
bei fen 	備份	c=7 d=0.190472 t=11615
bei jing 	北京	c=1 d=7.06873e-08 t=11615
bei jing 	背景	c=1 d=1.97966e-05 t=11615
bei po 	被迫	c=1 d=1.68403e-14 t=11615
bei shang pi 	被上皮	c=1 d=1.46478e-20 t=11615
ben 	苯	c=2 d=4.9804e-06 t=11615
ben ji 	苯基	c=1 d=3.7202e-15 t=11615
ben ma 	奔馬	c=1 d=0.211223 t=11615
ben ma lv 	奔馬律	c=4 d=0.183939 t=11615
bi 	吡	c=1 d=0.375311 t=11615
bi 	壁	c=5 d=0.0349567 t=11615
bi 	比	c=8 d=0.00690859 t=11615
bi ceng 	壁層	c=3 d=0.00194129 t=11615
bi ci 	彼此	c=0 d=1.30565e-21 t=11615
bi ci du li 	彼此獨立	c=1 d=1.3122e-20 t=11615
bi ding 	吡啶	c=3 d=1.83891e-05 t=11615
bi he 	閉合	c=0 d=0.0559898 t=11615
bi he xing 	閉合性	c=1 d=0.562705 t=11615
bi jiao 	比較	c=2 d=0.00873865 t=11615
bi jing 	畢竟	c=1 d=6.20702e-08 t=11615
bi li 	比例	c=1 d=4.2985e-09 t=11615
bi mian 	避免	c=5 d=0.105615 t=11615
bi se 	閉塞	c=1 d=0.0682212 t=11615
bi xu 	必須	c=1 d=0.0297478 t=11615
bi xu yong 	必須用	c=1 d=4.01827e-10 t=11615
bi yao 	必要	c=1 d=1.6169e-06 t=11615
bi yao shi 	必要時	c=2 d=1.07041e-10 t=11615
bi zhi 	比值	c=5 d=8.76147e-10 t=11615
bian 	便	c=1 d=2.48213e-19 t=11615
bian 	變	c=4 d=0.000539596 t=11615
bian dong 	變動	c=1 d=2.26618e-07 t=11615
bian duo 	變多	c=1 d=1.54334e-17 t=11615
bian hei 	變黑	c=1 d=1.50523e-17 t=11615
bian hou 	變厚	c=1 d=7.85265e-10 t=11615
bian hua 	變化	c=11 d=0.140396 t=11615
bian huan 	變換	c=1 d=1.12535e-07 t=11615
bian liang 	變量	c=1 d=0.128735 t=11615
bian ma 	編碼	c=1 d=7.22773e-05 t=11615
bian ren 	辨認	c=1 d=1.16825e-06 t=11615
bian tai 	變態	c=1 d=0.186374 t=11615
bian wei 	變爲	c=2 d=0.955997 t=11615
bian xi 	變細	c=1 d=9.79e-16 t=11615
bian ya 	變壓	c=1 d=1.84614e-07 t=11615
bian yi 	編譯	c=1 d=0.0475963 t=11615
bian yi 	變異	c=1 d=0.0256042 t=11615
bian yu 	便於	c=2 d=0.782705 t=11615
bian yuan 	邊緣	c=6 d=0.00351722 t=11615
bian zhi 	變直	c=1 d=1.13373e-06 t=11615
biao ben 	標本	c=5 d=0.191201 t=11615
biao ben de 	標本的	c=1 d=0.0536647 t=11615
biao da shi 	表達式	c=2 d=1.92117e-05 t=11615
biao ge 	表格	c=3 d=0.2903 t=11615
biao guan 	表觀	c=6 d=5.60891e-19 t=11615
biao mian 	表面	c=6 d=0.0475431 t=11615
biao qian 	標籤	c=2 d=0.0500366 t=11615
biao shi 	表示	c=3 d=1.30904e-09 t=11615
biao ti 	標題	c=1 d=4.36198e-05 t=11615
biao xian 	表現	c=13 d=0.11891 t=11615
biao xian wei 	表現爲	c=3 d=0.842428 t=11615
biao zhi 	標誌	c=1 d=0.0555762 t=11615
biao zhi wu 	標誌物	c=4 d=0.0349094 t=11615
biao zhun 	標準	c=4 d=0.929787 t=11615
biao zhun ce liang fa 	標準測量法	c=1 d=7.25138e-14 t=11615
bin lang 	檳榔	c=0 d=7.23019e-10 t=11615
bin lang gan 	檳榔肝	c=1 d=7.26644e-09 t=11615
bing 	丙	c=1 d=5.35808e-13 t=11615
bing 	並	c=7 d=0.477904 t=11615
bing 	柄	c=1 d=2.03642e-14 t=11615
bing 	病	c=20 d=0.355631 t=11615
bing bian 	病變	c=14 d=0.473649 t=11615
bing bu 	並不	c=1 d=9.98947e-18 t=11615
bing du 	病毒	c=2 d=0.000284437 t=11615
bing du xing 	病毒性	c=4 d=8.27249e-05 t=11615
bing fa 	併發	c=1 d=1.28823e-09 t=11615
bing fei 	並非	c=1 d=0.00339653 t=11615
bing li 	病理	c=14 d=0.218599 t=11615
bing li xing 	病理性	c=3 d=0.149931 t=11615
bing li yi yi 	病理意義	c=1 d=2.74887e-14 t=11615
bing li yuan yin 	病理原因	c=1 d=0.398519 t=11615
bing qi 	屏氣	c=2 d=7.61402e-18 t=11615
bing qing 	病情	c=2 d=0.00304273 t=11615
bing ren 	病人	c=10 d=0.0955678 t=11615
bing tong suan 	丙酮酸	c=1 d=1.09529e-12 t=11615
bing yin 	病因	c=19 d=0.923329 t=11615
bing yuan ti 	病原體	c=5 d=0.0437178 t=11615
bing zai 	並在	c=1 d=0.0483156 t=11615
bing zao 	病竈	c=3 d=0.00369076 t=11615
bo 	伯	c=0 d=1.04117e-05 t=11615
bo 	搏	c=0 d=7.284e-09 t=11615
bo 	波	c=11 d=0.059311 t=11615
bo chang 	波長	c=4 d=7.30801e-15 t=11615
bo chu liang 	搏出量	c=3 d=2.76878e-06 t=11615
bo dong 	搏動	c=19 d=0.0073776 t=11615
bo dong 	波動	c=0 d=0.00211736 t=11615
bo dong lv 	波動率	c=1 d=0.0212797 t=11615
bo dong zheng 	搏動徵	c=1 d=1.50076e-13 t=11615
bo li 	剝離	c=0 d=1.93578e-07 t=11615
bo li shu 	剝離術	c=1 d=1.94548e-06 t=11615
bo pian 	玻片	c=1 d=1.20757e-13 t=11615
bo san 	播散	c=1 d=0.196912 t=11615
bo shi 	博士	c=1 d=1.65355e-05 t=11615
bo xing 	波形	c=2 d=1.1144e-16 t=11615
bu 	不	c=19 d=0.292782 t=11615
bu 	布	c=1 d=0.301194 t=11615
bu 	部	c=0 d=0.00547488 t=11615
bu bian 	不變	c=3 d=0.0821694 t=11615
bu can yu 	不參與	c=1 d=2.82576e-15 t=11615
bu chang 	不暢	c=1 d=2.90281e-08 t=11615
bu chang 	補償	c=1 d=8.63964e-16 t=11615
bu cheng 	不成	c=2 d=7.39343e-20 t=11615
bu cheng zheng bi 	不成正比	c=1 d=3.67555e-20 t=11615
bu chong 	補充	c=1 d=3.48311e-05 t=11615
bu cuo 	不錯	c=2 d=0.0103063 t=11615
bu da 	不大	c=4 d=0.00144176 t=11615
bu dang 	不當	c=1 d=1.24392e-10 t=11615
bu deng 	不等	c=5 d=0.00227676 t=11615
bu ding 	不定	c=1 d=2.84582e-10 t=11615
bu fen 	部分	c=9 d=0.0100432 t=11615
bu fen rong ji 	部分容積	c=1 d=1.58241e-17 t=11615
bu gan 	不敢	c=1 d=3.00621e-08 t=11615
bu gou 	不夠	c=1 d=7.35721e-08 t=11615
bu gui ze 	不規則	c=4 d=0.00406639 t=11615
bu hao 	不好	c=3 d=0.0982736 t=11615
bu ji shi 	不及時	c=1 d=0.108609 t=11615
bu jia 	補鉀	c=1 d=0.108067 t=11615
bu jian duan 	不間斷	c=0 d=4.24691e-15 t=11615
bu jin 	不僅	c=1 d=3.68957e-06 t=11615
bu jing 	不經	c=1 d=1.77007e-12 t=11615
bu jun 	不均	c=1 d=0.000160054 t=11615
bu jun yun 	不均勻	c=1 d=0.369723 t=11615
bu ke 	不可	c=1 d=2.93398e-16 t=11615
bu ke ni 	不可逆	c=1 d=2.52926e-05 t=11615
bu kuai 	不快	c=1 d=3.72792e-10 t=11615
bu liang 	不良	c=2 d=1.04145e-05 t=11615
bu liang fan ying 	不良反應	c=3 d=2.03931e-05 t=11615
bu neng 	不能	c=5 d=0.501576 t=11615
bu qi 	不齊	c=0 d=2.94568e-05 t=11615
bu qia dang 	不恰當	c=1 d=0.109154 t=11615
bu qing 	不清	c=1 d=0.00160441 t=11615
bu quan 	不全	c=5 d=2.7693e-06 t=11615
bu quan 	補全	c=5 d=0.000430743 t=11615
bu quan zhe 	不全者	c=1 d=2.747e-06 t=11615
bu shi 	不是	c=4 d=0.00550277 t=11615
bu shou 	不受	c=1 d=1.27211e-08 t=11615
bu tai 	不太	c=1 d=1.58871e-05 t=11615
bu tiao 	不跳	c=1 d=0.0131675 t=11615
bu tong 	不同	c=15 d=0.202698 t=11615
bu tong bu 	不同不	c=1 d=0.14808 t=11615
bu wei 	部位	c=8 d=0.000773388 t=11615
bu xi shui 	部吸水	c=1 d=0.0550232 t=11615
bu xin 	不信	c=0 d=0.00111647 t=11615
bu xin le 	不信了	c=1 d=0.0112206 t=11615
bu xing 	不行	c=1 d=0.0125254 t=11615
